央视, #genre#
CCTV10, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.78:1107$河南uni#http://180.110.154.4:10001/rtp/239.49.8.54:9818$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.54:9818$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.54:9818$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.54:9818$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.54:9818$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.63:8116$北京uni#http://123.13.244.212:4000/rtp/225.1.4.78:1107$河南uni#http://121.238.19.42:9999/rtp/239.49.8.54:9818$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.63:8116$北京uni#http://111.193.228.94:4022/rtp/239.3.1.63:8116$北京uni#http://111.196.132.49:20000/rtp/239.3.1.63:8116$北京uni
CCTV11, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.215:1268$河南uni#http://180.110.154.4:10001/rtp/239.49.0.127:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.0.127:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.0.127:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.0.127:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.0.127:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.152:8120$北京uni#http://123.13.244.212:4000/rtp/225.1.4.215:1268$河南uni#http://121.238.19.42:9999/rtp/239.49.0.127:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.152:8120$北京uni#http://111.193.228.94:4022/rtp/239.3.1.152:8120$北京uni#http://111.196.132.49:20000/rtp/239.3.1.152:8120$北京uni
CCTV12, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.79:1108$河南uni#http://180.110.154.4:10001/rtp/239.49.8.55:9822$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.55:9822$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.55:9822$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.55:9822$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.55:9822$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.64:8124$北京uni#http://123.13.244.212:4000/rtp/225.1.4.79:1108$河南uni#http://121.238.19.42:9999/rtp/239.49.8.55:9822$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.64:8124$北京uni#http://111.193.228.94:4022/rtp/239.3.1.64:8124$北京uni#http://111.196.132.49:20000/rtp/239.3.1.64:8124$北京uni
CCTV13, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.113:1293$河南uni#http://180.110.154.4:10001/rtp/239.49.8.109:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.109:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.109:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.109:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.109:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.124:8128$北京uni#http://123.13.244.212:4000/rtp/225.1.4.113:1293$河南uni#http://121.238.19.42:9999/rtp/239.49.8.109:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.124:8128$北京uni#http://111.193.228.94:4022/rtp/239.3.1.124:8128$北京uni#http://111.196.132.49:20000/rtp/239.3.1.124:8128$北京uni
CCTV14, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.80:1109$河南uni#http://180.110.154.4:10001/rtp/239.49.8.56:9826$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.56:9826$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.56:9826$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.56:9826$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.56:9826$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.65:8132$北京uni#http://123.13.244.212:4000/rtp/225.1.4.80:1109$河南uni#http://121.238.19.42:9999/rtp/239.49.8.56:9826$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.65:8132$北京uni#http://111.193.228.94:4022/rtp/239.3.1.65:8132$北京uni#http://111.196.132.49:20000/rtp/239.3.1.65:8132$北京uni
CCTV15, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.216:1269$河南uni#http://180.110.154.4:10001/rtp/239.49.0.128:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.0.128:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.0.128:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.0.128:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.0.128:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.153:8136$北京uni#http://123.13.244.212:4000/rtp/225.1.4.216:1269$河南uni#http://121.238.19.42:9999/rtp/239.49.0.128:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.153:8136$北京uni#http://111.193.228.94:4022/rtp/239.3.1.153:8136$北京uni#http://111.196.132.49:20000/rtp/239.3.1.153:8136$北京uni
CCTV16, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.31:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.31:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.31:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.31:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.31:8000$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.184:8001$北京uni#http://121.238.19.42:9999/rtp/239.49.8.31:8000$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.184:8001$北京uni#http://111.193.228.94:4022/rtp/239.3.1.184:8001$北京uni#http://111.196.132.49:20000/rtp/239.3.1.184:8001$北京uni
CCTV17, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.226:2506$河南uni#http://180.110.154.4:10001/rtp/239.49.8.52:9810$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.52:9810$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.52:9810$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.52:9810$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.52:9810$江苏cmc#http://124.65.0.99:20000/rtp/239.3.1.151:8144$北京uni#http://123.13.244.212:4000/rtp/225.1.4.226:2506$河南uni#http://121.238.19.42:9999/rtp/239.49.8.52:9810$江苏cmc#http://114.254.80.240:2222/rtp/239.3.1.151:8144$北京uni#http://111.193.228.94:4022/rtp/239.3.1.151:8144$北京uni#http://111.196.132.49:20000/rtp/239.3.1.151:8144$北京uni
CCTV4欧洲, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.2.182:11818$河南uni#http://219.140.225.0:5555/rtp/239.69.1.231:11028$湖北cmc#http://175.11.69.146:8888/rtp/239.76.246.95:1234$湖南cmc#http://171.83.139.36:10000/rtp/239.69.1.231:11028$湖北cmc#http://124.65.0.99:20000/rtp/239.3.1.213:4220$北京uni#http://123.13.244.212:4000/rtp/225.1.2.182:11818$河南uni#http://118.249.22.117:4022/rtp/239.76.246.95:1234$湖南cmc#http://114.254.80.240:2222/rtp/239.3.1.213:4220$北京uni#http://111.178.104.143:9999/rtp/239.69.1.231:11028$湖北cmc#http://111.193.228.94:4022/rtp/239.3.1.213:4220$北京uni#http://111.196.132.49:20000/rtp/239.3.1.213:4220$北京uni#http://58.50.171.226:4022/rtp/239.69.1.231:11028$湖北cmc#http://58.52.180.64:9999/rtp/239.69.1.231:11028$湖北cmc#http://27.16.160.149:3520/rtp/239.69.1.231:11028$湖北cmc
CCTV4美洲, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.2.183:11824$河南uni#http://219.140.225.0:5555/rtp/239.69.1.232:11034$湖北cmc#http://175.11.69.146:8888/rtp/239.76.246.96:1234$湖南cmc#http://171.83.139.36:10000/rtp/239.69.1.232:11034$湖北cmc#http://124.65.0.99:20000/rtp/239.3.1.214:4220$北京uni#http://123.13.244.212:4000/rtp/225.1.2.183:11824$河南uni#http://118.249.22.117:4022/rtp/239.76.246.96:1234$湖南cmc#http://114.254.80.240:2222/rtp/239.3.1.214:4220$北京uni#http://111.178.104.143:9999/rtp/239.69.1.232:11034$湖北cmc#http://111.193.228.94:4022/rtp/239.3.1.214:4220$北京uni#http://111.196.132.49:20000/rtp/239.3.1.214:4220$北京uni#http://58.50.171.226:4022/rtp/239.69.1.232:11034$湖北cmc#http://58.52.180.64:9999/rtp/239.69.1.232:11034$湖北cmc#http://27.16.160.149:3520/rtp/239.69.1.232:11034$湖北cmc
