CCTV1,rtp://239.49.8.19:9614$江苏cmc
CCTV2,rtp://239.49.8.50:9802$江苏cmc
CCTV3,rtp://239.49.8.74:8000$江苏cmc
CCTV4,rtp://239.49.8.51:9806$江苏cmc
CCTV5+,rtp://239.49.8.18:9610$江苏cmc
CCTV6,rtp://239.49.8.76:8000$江苏cmc
CCTV7,rtp://239.49.0.126:8000$江苏cmc
CCTV8,rtp://239.49.8.77:8000$江苏cmc
CCTV9,rtp://239.49.8.53:9814$江苏cmc
CCTV10,rtp://239.49.8.54:9818$江苏cmc
CCTV11,rtp://239.49.0.127:8000$江苏cmc
CCTV12,rtp://239.49.8.55:9822$江苏cmc
CCTV13,rtp://239.49.8.109:8000$江苏cmc
CCTV14,rtp://239.49.8.56:9826$江苏cmc
CCTV15,rtp://239.49.0.128:8000$江苏cmc
CCTV16,rtp://239.49.8.31:8000$江苏cmc
CCTV17,rtp://239.49.8.52:9810$江苏cmc
CETV1,rtp://239.49.8.115:8000$江苏cmc
CETV4,rtp://239.49.0.125:8000$江苏cmc
CF第一剧场,rtp://239.49.8.94:8000$江苏cmc
CF电视指南,rtp://239.49.8.84:8000$江苏cmc
CF风云足球,rtp://239.49.8.85:8000$江苏cmc
CF高尔夫网球,rtp://239.49.8.86:8000$江苏cmc
CF世界地理,rtp://239.49.8.87:8000$江苏cmc
CF兵器科技,rtp://239.49.8.88:8000$江苏cmc
CF风云剧场,rtp://239.49.8.89:8000$江苏cmc
CF央视文化精品,rtp://239.49.8.90:8000$江苏cmc
CF怀旧剧场,rtp://239.49.8.91:8000$江苏cmc
CF风云音乐,rtp://239.49.8.92:8000$江苏cmc
CF女性时尚,rtp://239.49.8.93:8000$江苏cmc
CF央视台球,rtp://239.49.8.32:8000$江苏cmc

WA安徽卫视,rtp://239.49.8.80:8000$江苏cmc
WB北京卫视,rtp://239.49.8.11:9414$江苏cmc
WD东方卫视,rtp://239.49.8.17:9606$江苏cmc
WD东南卫视,rtp://239.49.8.112:8000$江苏cmc
WG广东卫视,rtp://239.49.8.13:9422$江苏cmc
WG广西卫视,rtp://239.49.8.10:8000$江苏cmc
WG贵州卫视,rtp://239.49.8.49:8000$江苏cmc
WH海南卫视,rtp://239.49.8.83:8000$江苏cmc
WH河北卫视,rtp://239.49.8.114:8000$江苏cmc
WH河南卫视,rtp://239.49.8.29:8000$江苏cmc
WH黑龙江卫视,rtp://239.49.8.14:9426$江苏cmc
WH湖北卫视,rtp://239.49.8.8:9632$江苏cmc
WH湖南卫视,rtp://239.49.8.12:9418$江苏cmc
WJ吉林卫视,rtp://239.49.8.113:8000$江苏cmc
WJ江苏卫视,rtp://239.49.8.16:9602$江苏cmc
WJ江西卫视,rtp://239.49.8.111:8000$江苏cmc
WL辽宁卫视,rtp://239.49.8.48:8000$江苏cmc
WS三沙卫视,rtp://239.49.0.167:8000$江苏cmc
WS山东卫视,rtp://239.49.8.7:9306$江苏cmc
WS深圳卫视,rtp://239.49.8.15:9430$江苏cmc
WS四川卫视,rtp://239.49.8.110:8000$江苏cmc
WT天津卫视,rtp://239.49.8.35:8620$江苏cmc
WY云南卫视,rtp://239.49.0.177:8000$江苏cmc
WZ浙江卫视,rtp://239.49.8.20:9618$江苏cmc
WC重庆卫视,rtp://239.49.8.57:9830$江苏cmc

Y金鹰卡通,rtp://239.49.8.33:8000$江苏cmc
Y金鹰纪实,rtp://239.49.8.79:8000$江苏cmc
Y优漫卡通,rtp://239.49.8.119:8000$江苏cmc
